Year: 2020, Old Region: Brong Ahafo Region, New Region: Ahafo Region, Code: NPP, Candidate: Nana Akufo Addo, Party: NPP, Votes: 145584, Votes(%): 55.04%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Ahafo Region, Code: NDC, Candidate: John Dramani Mahama, Party: NDC, Votes: 116485, Votes(%): 44.04%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Ahafo Region, Code: Others, Candidate: Ivor Kobina Greenstreet, Party: CPP, Votes: 191, Votes(%): 0.07%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Ahafo Region, Code: Others, Candidate: David Asibi Ayindenaba Apasera, Party: PNC, Votes: 83, Votes(%): 0.03%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Ahafo Region, Code: Others, Candidate: Alfred Kwame Asiedu Walker, Party: IND, Votes: 103, Votes(%): 0.04%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Ahafo Region, Code: Others, Candidate: Percival Kofi Akpaloo, Party: LPG, Votes: 112, Votes(%): 0.04%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Ahafo Region, Code: Others, Candidate: Hassan Ayariga, Party: APC, Votes: 150, Votes(%): 0.06%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Ahafo Region, Code: Others, Candidate: Bridget Dzogbenuku, Party: PPP, Votes: 51, Votes(%): 0.02%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Ahafo Region, Code: Others, Candidate: Akua Donkor, Party: GFP, Votes: 49, Votes(%): 0.02%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Ahafo Region, Code: Others, Candidate: Christian Kwabena Andrews, Party: GUM, Votes: 1490, Votes(%): 0.56%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Ahafo Region, Code: Others, Candidate: Henry Herbert Lartey, Party: GCPP, Votes: 51, Votes(%): 0.02%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Ahafo Region, Code: Others, Candidate: Nana Konadu Agyeman Rawlings, Party: NDP, Votes: 135, Votes(%): 0.05%
Year: 2020, Old Region: Ashanti Region, New Region: Ashanti Region, Code: NPP, Candidate: Nana Akufo Addo, Party: NPP, Votes: 1795824, Votes(%): 72.79%
Year: 2020, Old Region: Ashanti Region, New Region: Ashanti Region, Code: NDC, Candidate: John Dramani Mahama, Party: NDC, Votes: 653149, Votes(%): 26.47%
Year: 2020, Old Region: Ashanti Region, New Region: Ashanti Region, Code: OTHERS, Candidate: Ivor Kobina Greenstreet, Party: CPP, Votes: 1356, Votes(%): 0.05%
Year: 2020, Old Region: Ashanti Region, New Region: Ashanti Region, Code: OTHERS, Candidate: David Asibi Ayindenaba Apasera, Party: PNC, Votes: 444, Votes(%): 0.02%
Year: 2020, Old Region: Ashanti Region, New Region: Ashanti Region, Code: OTHERS, Candidate: Alfred Kwame Asiedu Walker, Party: IND, Votes: 952, Votes(%): 0.04%
Year: 2020, Old Region: Ashanti Region, New Region: Ashanti Region, Code: OTHERS, Candidate: Percival Kofi Akpaloo, Party: LPG, Votes: 712, Votes(%): 0.03%
Year: 2020, Old Region: Ashanti Region, New Region: Ashanti Region, Code: OTHERS, Candidate: Hassan Ayariga, Party: APC, Votes: 482, Votes(%): 0.02%
Year: 2020, Old Region: Ashanti Region, New Region: Ashanti Region, Code: OTHERS, Candidate: Bridget Dzogbenuku, Party: PPP, Votes: 435, Votes(%): 0.02%
Year: 2020, Old Region: Ashanti Region, New Region: Ashanti Region, Code: OTHERS, Candidate: Akua Donkor, Party: GFP, Votes: 593, Votes(%): 0.02%
Year: 2020, Old Region: Ashanti Region, New Region: Ashanti Region, Code: OTHERS, Candidate: Christian Kwabena Andrews, Party: GUM, Votes: 12564, Votes(%): 0.51%
Year: 2020, Old Region: Ashanti Region, New Region: Ashanti Region, Code: OTHERS, Candidate: Henry Herbert Lartey, Party: GCPP, Votes: 304, Votes(%): 0.01%
Year: 2020, Old Region: Ashanti Region, New Region: Ashanti Region, Code: OTHERS, Candidate: Nana Konadu Agyeman Rawlings, Party: NDP, Votes: 476, Votes(%): 0.02%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Bono Region, Code: NPP, Candidate: Nana Akufo Addo, Party: NPP, Votes: 292604, Votes(%): 58.23%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Bono Region, Code: NDC, Candidate: John Dramani Mahama, Party: NDC, Votes: 203279, Votes(%): 40.45%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Bono Region, Code: Others, Candidate: Ivor Kobina Greenstreet, Party: CPP, Votes: 338, Votes(%): 0.07%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Bono Region, Code: Others, Candidate: David Asibi Ayindenaba Apasera, Party: PNC, Votes: 209, Votes(%): 0.04%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Bono Region, Code: Others, Candidate: Alfred Kwame Asiedu Walker, Party: IND, Votes: 374, Votes(%): 0.07%
